direccion,latitud,longitud
"casanova 31, 27863 lugo, celeiro viveiro, españa",43.6812079,-7.590101300000001
"casanova 32, 27863 lugo, celeiro viveiro, españa",43.6811926,-7.5900023
"grande 109, 27863 lugo, celeiro viveiro, españa",43.679397,-7.589687
"celeiro 27863, 27863 lugo, viveiro, españa",43.6798633,-7.5883459
"celeiro 27863, 27863 lugo, viveiro, españa",43.6798633,-7.5883459
"vilaquinte 4, 27659 lugo, cervantes, españa",42.902674,-6.956298
"calle san roman de cervantes s/n, 27664 lugo, cervantes, españa",42.8684099,-7.0590261
"piornedo de ancares s/n, 27664 lugo, cervantes, españa",42.8564839,-6.8758138
"daian s/n., 27888 lugo, cervo, españa",43.6838752,-7.4570675
"daian s/n., 27888 lugo, cervo, españa",43.6838752,-7.4570675
"calle dos campos 4, 27890 lugo, cervo, españa",43.69416,-7.44194
"avenida lieiro 7, 27890 lugo, cervo, españa",43.69089,-7.44614
"pol. ind. cuina s/n, 27891 lugo, cervo, españa",43.671212,-7.410357299999999
"Galicia (De) 14, 27891 lugo, cervo, españa",43.671212,-7.410357299999999
"pol. ind. cuina 118, 27891 lugo, cervo, españa",43.671212,-7.410357299999999
"pl. souto 3, 27891 lugo, cervo, españa",43.671212,-7.410357299999999
"lobeiras 14, 27891 lugo, cervo, españa",43.6688622,-7.409708200000001
"trasbar-castelo trasbar-castelo, 27891 lugo, cervo, españa",43.6637459,-7.442590699999998
"calle leiro 44, 27891 lugo, cervo, españa",43.69457,-7.45177
"espineirido no2 4, 27891 lugo, cervo, españa",43.671212,-7.410357299999999
"espineirido 24, 27891 lugo, cervo, españa",43.67865,-7.4329
"Avenida de Lugo 22, 27500 lugo, chantada, españa",42.610117,-7.768906
"rosalia de castro 2, 27500 lugo, chantada, españa",42.610665,-7.774686499999999
"calle leonardo rodriguez 6, 27500 lugo, chantada, españa",42.609232,-7.7711408
"pardo bazan 9, 27500 lugo, chantada, españa",42.6081509,-7.767223899999999
"pol. ind. acibros s/n, 27500 lugo, chantada, españa",42.6128144,-7.766118799999998
"avenida ourense 8, 27500 lugo, chantada, españa",42.6096191,-7.771998699999999
"ramon y cajal 2, 27500 lugo, chantada, españa",42.60971,-7.7696
"ramon y cajal 20, 27500 lugo, chantada, españa",42.6101515,-7.769469999999999
"avenida ourense 25, 27500 lugo, chantada, españa",42.6082238,-7.7723808
"avenida juan xxiii 17, 27500 lugo, chantada, españa",42.6092,-7.76965
